Rk,Player,age,WS,salary,projSalary,playerTeam
276,DaQuan Jeffries,24,0,3053760.00,3206640.00,Memphis Grizzlies
277,Ty Jerome,24,0.5,3000000.00,3000000.00,Oklahoma City Thunder
278,Isaiah Joe,22,0.4,3000000.00,,Philadelphia 76ers
279,Alize Johnson,25,0.1,3000000.00,3150000.00,TOT
280,B.J. Johnson,26,0.1,2957520.00,3098400.00,Orlando Magic
281,Cameron Johnson,25,5.6,2901240.00,3046200.00,Phoenix Suns
282,David Johnson,20,0,5256308.00,2866667.00,Toronto Raptors
283,Jalen Johnson,20,0,2844429.00,2844429.00,Atlanta Hawks
284,James Johnson,34,1.7,2840160.00,4379527.00,Brooklyn Nets
285,Joe Johnson,40,0,2824320.00,2959080.00,Boston Celtics
286,Keldon Johnson,22,4.9,2770560.00,2909160.00,San Antonio Spurs
287,Keon Johnson,19,-0.5,2726880.00,4343920.00,TOT
288,Stanley Johnson,25,1.8,2711280.00,2840160.00,Los Angeles Lakers
289,Tyler Johnson,29,0.1,2659560.00,2792520.00,TOT
290,Nikola Jokić,26,15.2,2641691.00,,Denver Nuggets
291,Carlik Jones,24,-0.1,2641691.00,,TOT
292,Damian Jones,26,3.3,2641691.00,,Sacramento Kings
293,Derrick Jones Jr.,24,2.2,2641691.00,,Chicago Bulls
294,Herbert Jones,23,4.6,2641691.00,,New Orleans Pelicans
295,Jemerrio Jones,26,0.1,11109327.00,7827907.00,Los Angeles Lakers
296,Kai Jones,21,0,2641691.00,,Charlotte Hornets
297,Mason Jones,23,0.2,2641691.00,,Los Angeles Lakers
298,Tre Jones,22,2.9,2641691.00,,San Antonio Spurs
299,Tyus Jones,25,5.1,2641691.00,,Memphis Grizzlies
300,DeAndre Jordan,33,1.9,2641691.00,,TOT
301,Cory Joseph,30,2.5,2641691.00,,Detroit Pistons
302,Georgios Kalaitzakis,23,-0.1,2641691.00,,TOT
303,Frank Kaminsky,28,0.9,32405817.00,,Phoenix Suns
304,Luke Kennard,25,4.5,2641691.00,,Los Angeles Clippers
305,Braxton Key,24,0.2,2641691.00,,TOT
306,George King,28,-0.1,2641691.00,,Dallas Mavericks
307,Louis King,22,0,2617800.00,4306281.00,Sacramento Kings
308,Corey Kispert,22,2.3,2602920.00,2726880.00,Washington Wizards
309,Maxi Kleber,30,3,2553120.00,2681040.00,Dallas Mavericks
310,Brandon Knight,30,0.1,2513040.00,4264629.00,Dallas Mavericks
311,Nathan Knight,24,1,2500000.00,2625000.00,Minnesota Timberwolves
312,Kevin Knox,22,0.2,2498760.00,2617800.00,TOT
313,John Konchar,25,4.2,2451120.00,2573760.00,Memphis Grizzlies
314,Furkan Korkmaz,24,1.2,2412840.00,4220057.00,Philadelphia 76ers
315,Luke Kornet,26,0.4,2401537.00,,TOT
316,Vit Krejci,21,0.6,2401537.00,,Oklahoma City Thunder
317,Arnoldas Kulboka,24,0,2401537.00,,Charlotte Hornets
318,Jonathan Kuminga,19,3,2401537.00,,Golden State Warriors
319,Kyle Kuzma,26,2,7310000.00,5155000.00,Washington Wizards
320,Anthony Lamb,24,0,2389641.00,,San Antonio Spurs
321,Jeremy Lamb,29,1.2,2389641.00,,TOT
322,Jock Landale,26,1.5,2389641.00,,San Antonio Spurs
323,Romeo Langford,22,1.3,2389641.00,,TOT
324,Zach LaVine,26,5.8,2389641.00,,Chicago Bulls
325,Jake Layman,27,0.1,5256308.00,2866667.00,Minnesota Timberwolves
326,Damion Lee,29,2.7,2389641.00,,Golden State Warriors
327,Saben Lee,22,0.9,2353320.00,2471160.00,Detroit Pistons
328,Alex Len,28,0.9,2353320.00,2471160.00,Sacramento Kings
329,Caris LeVert,27,2.2,2327220.00,2443581.00,TOT
330,Kira Lewis Jr.,20,-0.1,2316240.00,4171548.00,New Orleans Pelicans
331,Scottie Lewis,21,0,2303040.00,2412840.00,Charlotte Hornets
